"Atelocynus","Crypturellus","Cuniculus","Dasyprocta","Dasypus","Didelphis","Eira","Herpailurus","Hydrochoerus","Leopardus","Mazama","Metachirus","Mitu","Myrmecophaga","Nasua","Nothocrax","Odontophorus","Panthera","Pecari","Penelope","Priodontes","Procyon","Psophia","Puma","Sciurus","Speothos","Sylvilagus","Tamandua","Tapirus","Tayassu","Tinamus"
0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,17,19,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,22,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,3,6,21,50,0,0,0,0,3,0,0,168,0,0,0,0,0,23,0,0,0,21,0,0,0,0,3,0,272,3
0,0,12,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0
0,0,0,15,6,0,0,0,0,0,26,0,66,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
0,0,3,9,2,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,6
0,0,0,0,3,0,8,0,0,0,3,0,8,0,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,0
0,0,3,31,15,0,3,0,0,0,23,0,14,6,1,0,0,0,3,0,3,0,22,0,0,0,0,0,0,0,6
3,6,0,29,0,0,3,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
0,0,15,0,57,0,0,0,0,0,94,0,72,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
0,0,6,24,0,0,3,0,0,0,21,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
