"placename","sampling_event","longitude","latitude"
"CT-435","2018",-62.9922477,-9.3337485
"CT-435","2020",-62.9922477,-9.3337485
"CT-436","2017",-62.979371,-9.333748
"CT-436","2019",-62.979371,-9.333748
"CT-437","2017",-62.9664944,-9.333747
"CT-438","2017",-62.9536178,-9.3337456
"CT-438","2019",-62.9536178,-9.3337456
"CT-439","2017",-62.9407412,-9.3337437
"CT-439","2019",-62.9407412,-9.3337437
"CT-440","2019",-62.9278646,-9.3337413
"CT-445","2019",-62.8634816,-9.3337224
"CT-446","2017",-62.850605,-9.3337172
"CT-446","2018",-62.850605,-9.3337172
"CT-447","2017",-62.8377284,-9.3337116
"CT-447","2018",-62.8377284,-9.3337116
"CT-447","2019",-62.8377284,-9.3337116
"CT-470","2019",-63.0308764,-9.3209577
"CT-471","2019",-63.0180003,-9.3209586
"CT-472","2017",-63.0051241,-9.320959
"CT-472","2018",-63.0051241,-9.320959
"CT-473","2017",-62.9922479,-9.320959
"CT-473","2018",-62.9922479,-9.320959
"CT-474","2017",-62.9793718,-9.3209585
"CT-474","2018",-62.9793718,-9.3209585
"CT-475","2017",-62.9664956,-9.3209575
"CT-475","2019",-62.9664956,-9.3209575
"CT-476","2018",-62.9536195,-9.320956
"CT-476","2019",-62.9536195,-9.320956
"CT-477","2018",-62.9407433,-9.3209541
"CT-477","2019",-62.9407433,-9.3209541
"CT-478","2018",-62.9278672,-9.3209518
"CT-478","2019",-62.9278672,-9.3209518
"CT-479","2018",-62.914991,-9.3209489
"CT-479","2019",-62.914991,-9.3209489
"CT-483","2017",-62.8634865,-9.3209329
"CT-483","2018",-62.8634865,-9.3209329
"CT-483","2019",-62.8634865,-9.3209329
"CT-484","2018",-62.8506104,-9.3209277
"CT-484","2019",-62.8506104,-9.3209277
"CT-485","2017",-62.8377343,-9.3209221
"CT-485","2018",-62.8377343,-9.3209221
"CT-485","2019",-62.8377343,-9.3209221
"CT-486","2017",-62.8248582,-9.320916
"CT-486","2019",-62.8248582,-9.320916
"CT-509","2018",-63.0179996,-9.3081691
"CT-510","2017",-63.0051239,-9.3081695
"CT-510","2018",-63.0051239,-9.3081695
"CT-511","2017",-62.9922482,-9.3081694
"CT-511","2018",-62.9922482,-9.3081694
"CT-512","2017",-62.9793725,-9.3081689
"CT-512","2018",-62.9793725,-9.3081689
"CT-513","2019",-62.9664969,-9.308168
"CT-514","2018",-62.9536212,-9.3081665
"CT-515","2018",-62.9407455,-9.3081646
"CT-515","2019",-62.9407455,-9.3081646
"CT-516","2018",-62.9278698,-9.3081622
"CT-516","2019",-62.9278698,-9.3081622
"CT-521","2017",-62.8634915,-9.3081434
"CT-521","2019",-62.8634915,-9.3081434
"CT-522","2017",-62.8506158,-9.3081382
"CT-522","2018",-62.8506158,-9.3081382
"CT-522","2019",-62.8506158,-9.3081382
"CT-523","2017",-62.8377402,-9.3081326
"CT-523","2018",-62.8377402,-9.3081326
"CT-523","2019",-62.8377402,-9.3081326
"CT-524","2017",-62.8248646,-9.3081265
"CT-524","2018",-62.8248646,-9.3081265
"CT-524","2019",-62.8248646,-9.3081265
"CT-549","2017",-62.9922485,-9.2953799
"CT-549","2018",-62.9922485,-9.2953799
"CT-551","2018",-62.9664981,-9.2953784
"CT-551","2019",-62.9664981,-9.2953784
"CT-552","2018",-62.9536229,-9.295377
"CT-552","2019",-62.9536229,-9.295377
"CT-555","2016",-62.9149972,-9.2953699
"CT-555","2017",-62.9149972,-9.2953699
"CT-555","2018",-62.9149972,-9.2953699
"CT-555","2019",-62.9149972,-9.2953699
"CT-556","2016",-62.902122,-9.2953666
"CT-556","2017",-62.902122,-9.2953666
"CT-556","2019",-62.902122,-9.2953666
"CT-560","2017",-62.8506213,-9.2953487
"CT-560","2018",-62.8506213,-9.2953487
"CT-560","2019",-62.8506213,-9.2953487
"CT-561","2017",-62.8377461,-9.2953431
"CT-561","2018",-62.8377461,-9.2953431
"CT-561","2019",-62.8377461,-9.2953431
"CT-562","2017",-62.8248709,-9.295337
"CT-562","2018",-62.8248709,-9.295337
"CT-562","2019",-62.8248709,-9.295337
"CT-591","2016",-62.9407498,-9.2825855
"CT-591","2017",-62.9407498,-9.2825855
"CT-591","2018",-62.9407498,-9.2825855
"CT-591","2019",-62.9407498,-9.2825855
"CT-592","2016",-62.927875,-9.2825832
"CT-592","2017",-62.927875,-9.2825832
"CT-592","2018",-62.927875,-9.2825832
"CT-592","2019",-62.927875,-9.2825832
"CT-593","2016",-62.9150003,-9.2825803
"CT-593","2017",-62.9150003,-9.2825803
"CT-593","2018",-62.9150003,-9.2825803
"CT-593","2019",-62.9150003,-9.2825803
"CT-594","2016",-62.9021256,-9.282577
"CT-594","2017",-62.9021256,-9.282577
"CT-594","2019",-62.9021256,-9.282577
"CT-595","2016",-62.8892508,-9.2825733
"CT-595","2017",-62.8892508,-9.2825733
"CT-595","2018",-62.8892508,-9.2825733
"CT-595","2019",-62.8892508,-9.2825733
"CT-599","2017",-62.837752,-9.2825536
"CT-599","2018",-62.837752,-9.2825536
"CT-629","2016",-62.9407519,-9.269796
"CT-629","2017",-62.9407519,-9.269796
"CT-629","2018",-62.9407519,-9.269796
"CT-629","2019",-62.9407519,-9.269796
"CT-630","2016",-62.9278777,-9.2697936
"CT-630","2017",-62.9278777,-9.2697936
"CT-630","2018",-62.9278777,-9.2697936
"CT-630","2019",-62.9278777,-9.2697936
"CT-631","2016",-62.9150034,-9.2697908
"CT-631","2017",-62.9150034,-9.2697908
"CT-631","2019",-62.9150034,-9.2697908
"CT-631","2018",-62.9150034,-9.2697908
"CT-632","2017",-62.9021291,-9.2697875
"CT-632","2018",-62.9021291,-9.2697875
"CT-632","2019",-62.9021291,-9.2697875
"CT-633","2016",-62.8892549,-9.2697837
"CT-633","2017",-62.8892549,-9.2697837
"CT-633","2018",-62.8892549,-9.2697837
"CT-633","2019",-62.8892549,-9.2697837
"CT-667","2017",-62.9407541,-9.2570064
"CT-667","2018",-62.9407541,-9.2570064
"CT-667","2019",-62.9407541,-9.2570064
"CT-668","2016",-62.9278803,-9.257004
"CT-668","2017",-62.9278803,-9.257004
"CT-668","2018",-62.9278803,-9.257004
