"sampling_event","longitude","latitude","placename","dist_water","intensity_500","intensity_250","effort","Atelocynus","Dasyprocta","Myrmecophaga","Pecari","Tapirus","Cuniculus","Leopardus","Mazama","Nasua","Tayassu","Puma","Tamandua","Didelphis","Eira","Dasypus","Priodontes","Panthera"
"2017",-62.966492,-9.359326,"CT-361",100,0,0,45,0,17,0,18,30,6,0,0,6,0,0,3,0,5,0,0,0
"2017",-62.9536144,-9.3593246,"CT-362",320.1560059,0,0,43,0,3,0,24,23,0,0,0,0,6,0,0,0,0,0,0,0
"2019",-62.9536144,-9.3593246,"CT-362",320.1560059,0,0,46,0,56,0,17,0,6,0,32,3,40,3,0,0,0,0,0,0
"2019",-62.9407369,-9.3593227,"CT-363",403.1130066,0,0,61,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017",-62.9407369,-9.3593227,"CT-363",403.1130066,0,0,46,0,31,0,28,0,6,0,0,0,28,0,0,0,0,0,0,0
"2017",-62.9278593,-9.3593203,"CT-364",180.2779999,0,0,63,3,38,12,3,39,145,9,0,9,0,0,12,0,3,0,0,0
"2019",-62.9278593,-9.3593203,"CT-364",180.2779999,0,0,46,0,6,0,0,0,52,0,17,0,0,0,0,0,0,0,9,0
"2018",-62.9021042,-9.3593141,"CT-366",206.1549988,0,0,45,0,28,9,9,0,6,0,0,0,0,0,3,0,0,0,3,0
"2017",-63.0437558,-9.3465354,"CT-393",390.5119934,0,0,57,0,0,0,183,9,0,0,0,0,96,0,0,0,3,0,0,0
"2019",-63.0437558,-9.3465354,"CT-393",390.5119934,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019",-63.0308787,-9.3465368,"CT-394",150,0,0,58,0,0,0,0,0,12,3,0,0,0,0,0,0,3,0,0,6
"2017",-63.0308787,-9.3465368,"CT-394",150,0,0,46,0,9,0,2,0,11,0,0,3,0,0,0,0,0,0,0,3
"2020",-63.018002,-9.346538,"CT-395",223.6069946,0,0,43,0,23,0,35,0,0,0,31,0,29,0,6,0,0,0,0,0
"2018",-63.0051245,-9.3465381,"CT-396",250,0,0,39,0,105,3,12,0,0,0,3,0,0,0,3,0,3,0,3,0
"2020",-63.0051245,-9.3465381,"CT-396",250,0,0,52,0,0,0,21,0,0,0,5,0,0,0,0,0,0,1,0,0
"2018",-62.9922474,-9.346538,"CT-397",390.5119934,0,0,38,0,74,0,9,0,38,0,25,0,0,0,0,0,0,0,0,0
"2020",-62.9922474,-9.346538,"CT-397",390.5119934,0,0,44,0,18,0,1,0,4,0,0,2,3,0,0,1,0,0,0,0
